"","transect","transect.length","habitat","regeneration","distrubance.rank","survey.ID","period","Eulemur.count","Hapalemur.count","Varecia.count","Propithecus.count","Indri.count","Lepilemur.count","Avahi.count","Microcebus.count","functional.group","encounter.rate"
"116","A",1000,"Protected","Intact","2",8,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"117","B",1000,"Protected","Intact","1",9,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"118","F",800,"Protected","Intact","3",10,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"119","E",375,"Restoration","Regenerating","4",11,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"120","C",325,"Savoka","Regenerating","6",12,"Nocturnal",0,0,0,0,0,0,0,2,"nocturnal.folivore",0
"121","D",350,"Restoration","Regenerating","5",13,"Nocturnal",0,0,0,0,0,0,0,6,"nocturnal.folivore",0
"122","E",375,"Restoration","Regenerating","4",14,"Nocturnal",0,0,0,0,0,0,0,8,"nocturnal.folivore",0
"123","D",350,"Restoration","Regenerating","5",15,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"124","C",325,"Savoka","Regenerating","6",16,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"125","B",1000,"Protected","Intact","1",17,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"126","A",1000,"Protected","Intact","2",18,"Afternoon",0,0,1,1,3,0,0,0,"nocturnal.folivore",0
"127","E",375,"Restoration","Regenerating","4",19,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"128","F",800,"Protected","Intact","3",20,"Afternoon",0,3,0,5,0,0,0,0,"nocturnal.folivore",0
"129","B",1000,"Protected","Intact","1",21,"Nocturnal",0,0,0,0,0,2,4,0,"nocturnal.folivore",0.006
"130","F",800,"Protected","Intact","3",22,"Nocturnal",0,0,0,0,0,1,2,2,"nocturnal.folivore",0.00375
"131","A",1000,"Protected","Intact","2",23,"Nocturnal",0,0,0,0,0,6,0,0,"nocturnal.folivore",0.006
"132","C",325,"Savoka","Regenerating","6",24,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"133","D",350,"Restoration","Regenerating","5",25,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"134","A",1000,"Protected","Intact","2",26,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"135","B",1000,"Protected","Intact","1",27,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"136","F",800,"Protected","Intact","3",28,"Morning",0,7,0,0,0,0,0,0,"nocturnal.folivore",0
"137","C",325,"Savoka","Regenerating","6",29,"Nocturnal",0,0,0,0,0,0,0,6,"nocturnal.folivore",0
"138","D",350,"Restoration","Regenerating","5",30,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"139","C",325,"Savoka","Regenerating","6",31,"Nocturnal",0,0,0,0,0,0,0,3,"nocturnal.folivore",0
"140","D",350,"Restoration","Regenerating","5",32,"Nocturnal",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"141","F",800,"Protected","Intact","3",33,"Nocturnal",0,0,0,0,0,3,4,0,"nocturnal.folivore",0.00875
"142","B",1000,"Protected","Intact","1",34,"Nocturnal",0,0,0,0,0,0,0,1,"nocturnal.folivore",0
"143","C",325,"Savoka","Regenerating","6",35,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"144","A",1000,"Protected","Intact","2",36,"Afternoon",0,0,0,5,3,0,0,0,"nocturnal.folivore",0
"145","D",350,"Restoration","Regenerating","5",37,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"146","E",375,"Restoration","Regenerating","4",38,"Nocturnal",0,0,0,0,0,0,0,3,"nocturnal.folivore",0
"147","F",800,"Protected","Intact","3",39,"Nocturnal",0,0,0,0,0,1,4,1,"nocturnal.folivore",0.00625
"148","A",1000,"Protected","Intact","2",40,"Nocturnal",0,0,0,0,0,7,6,1,"nocturnal.folivore",0.013
"149","D",350,"Restoration","Regenerating","5",41,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"150","C",325,"Savoka","Regenerating","6",42,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"151","E",375,"Restoration","Regenerating","4",43,"Nocturnal",0,0,0,0,0,0,0,3,"nocturnal.folivore",0
"152","A",1000,"Protected","Intact","2",44,"Morning",0,0,0,0,1,0,0,0,"nocturnal.folivore",0
"153","B",1000,"Protected","Intact","1",45,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"154","E",375,"Restoration","Regenerating","4",46,"Afternoon",2,0,0,0,0,0,0,0,"nocturnal.folivore",0
"155","B",1000,"Protected","Intact","1",47,"Nocturnal",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"156","E",375,"Restoration","Regenerating","4",48,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"157","F",800,"Protected","Intact","3",49,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"158","B",1000,"Protected","Intact","1",50,"Morning",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"159","A",1000,"Protected","Intact","2",51,"Nocturnal",0,0,0,0,0,4,3,1,"nocturnal.folivore",0.007
"160","E",375,"Restoration","Regenerating","4",52,"Afternoon",0,0,0,0,0,0,0,0,"nocturnal.folivore",0
"161","F",800,"Protected","Intact","3",53,"Morning",0,0,0,0,4,0,0,0,"nocturnal.folivore",0
"162","D",350,"Restoration","Regenerating","5",54,"Nocturnal",0,0,0,0,0,0,0,3,"nocturnal.folivore",0
"163","B",1000,"Protected","Intact","1",1,"Morning",0,0,0,4,0,0,0,0,"microcebus",0
"164","A",1000,"Protected","Intact","2",2,"Afternoon",0,0,0,0,2,0,0,0,"microcebus",0
"165","E",375,"Restoration","Regenerating","4",3,"Morning",0,0,0,0,0,0,0,0,"microcebus",0
